"PremiseID","Premise","HypothesisID","Hypothesis","Grade","Label","Partition"
"premID154","Then they cried a sea of tears ","hypoID613","Then they cried a lot",4,1,1
"premID132","She had a heart of stone. ","hypoID528","She was kind.",1,0,1
"premID180","The faculty meeting was a nightmare","hypoID717","The faculty meeting was amusing ",2,1,1
"premID15","my love is a summer day ","hypoID59","my feeling of love is pleasant and joyful",4,1,1
"premID10","he was feeling down hurt and sad  ","hypoID40","he was in a blue mood",3,1,1
"premID107","The animal shakes its tail in the air like a whip. ","hypoID425","The animal shakes in the air.",1,0,1
"premID72","How can we build a knowledge economy if research is handcuffed? (Barque and Chaumartin 2009) ","hypoID287","If research is kept still and is not stimulated  it is not possible to build an economy based on knowledge",3,1,1
"premID95","Nobody cares about the roots of modern civilization. ","hypoID377","He was known as a colourful dog.",1,0,1
"premID68","His condescending attitude made my blood boil. ","hypoID270","His condescending attitude made me enthusiastic.",1,0,1
"premID41","Every person has bitter memories ","hypoID161","Every person can remember some sad life experience",3,1,1
"premID118","The darted harpoon was lightning in the sea. ","hypoID472","The harpoon was in the sea and there was a lightning flash.",2,1,1
"premID138","The promise between us was a flower ","hypoID552","The promise between us was old and granted",2,1,1
"premID17","she cut him down with her words ","hypoID68","she told him things that made him sad",3,1,1
"premID57","He lived in a state of deep terror ","hypoID225","He lived experiencing intense feelings of fear and dread",4,1,1
"premID182","She knew she was burning in shame","hypoID725","She knew she was feeling an intense shame ",4,1,1
"premID22","then a colorful joy exploded in her chest ","hypoID87","then she felt down and depressed",1,0,1
"premID96","Now you can fade off to sleep.  ","hypoID383","Now you can sleep.",3,1,1
"premID8","Don't mention Tom 's promotion to Mike as it would be a red flag to a bull. ","hypoID31","Don't mention Tom 's promotion to Mike as it is sure to make him kind of sad.",2,1,1
"premID171","In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","hypoID682","American presidents must monitor the main terrorist organizations as well as any kind of group developing from them around the world ",3,1,1
"premID13","an ancient anger exploded in his heart ","hypoID49","an anger he had suppressed for a long time overwhelmed him",4,1,1
"premID6","While his one live leg made lively echoes along the deck  every stroke of his dead limb sounded like a coffin tap.  ","hypoID22","While his one live leg made lively echoes along the deck every stroke of his dead limb was a coffin noise.",3,1,1
"premID24","we were sinking in an ocean of grass ","hypoID95","we were sinking in the ocean",1,0,1
"premID148","The wind howled; the waves dashed their bucklers together - we were in the jaws of death  ","hypoID592","The wind roared; the waves collided - we were risking our lives.",4,1,1
"premID162","We dug up some interesting facts ","hypoID647","We have researched   and eventually found  some facts of interest",4,1,1
"premID18","the crowd was a roaring river ","hypoID70","the crowd was impressive and looked like a river",2,1,1
"premID126","The guy was a floating whale in the small swimming pool. ","hypoID501","The guy looked fat and large while floating in the small swimming pool.",4,1,1
"premID93","My lawyer is a shark ","hypoID372","My lawyer is somewhat dangerous",3,1,1
"premID80","I was staring straight into the shining sun ","hypoID318","I was considering my future career",1,0,1
"premID39","During the conflict the seeds of peace were planted. ","hypoID155","It was the end of the war.",2,1,1
"premID58","He looked neither one way nor the other way but sat like a carved image. ","hypoID230","He looked neither one way nor the other way but sat nervously twitching and agitated.",1,0,1
