PremiseID,HypothesisID,Premise,TranslationToCZ,BinaryLabel,Hypothesis,MachineTranslationToENfromCZ,Grade,Partition
premID154,hypoID613,Then they cried a sea of tears ,Hodně plakali.,1,Then they cried a lot,They cried a lot.,4,1
premID132,hypoID528,She had a heart of stone. ,Byla hodná.,0,She was kind.,She was nice.,1,1
premID180,hypoID717,The faculty meeting was a nightmare,Schůze fakulty byla zábavná.,0,The faculty meeting was amusing ,The faculty meeting was fun.,2,1
premID15,hypoID59,my love is a summer day ,Můj pocit lásky je příjemný a radostný.,1,my feeling of love is pleasant and joyful,My feeling of love is pleasant and exhilarating.,4,1
premID10,hypoID40,he was feeling down hurt and sad ,Byl v posmutnělé náladě.,1,he was in a blue mood,He was in a sad mood.,3,1
premID107,hypoID425,The animal shakes its tail in the air like a whip. ,Živočich se třepotá ve větru.,0,The animal shakes in the air.,Animals flutter in the wind.,1,1
premID72,hypoID287,How can we build a knowledge economy if research is handcuffed? (Barque and Chaumartin 2009) ,"Pokud by výzkum byl ponechán v klidu a nebyl podporován, pak nelze vybudovat ekonomiku založenou na znalostech.",1,If research is kept still and is not stimulated it is not possible to build an economy based on knowledge,"If research were left in peace and not supported, then a knowledge-based economy cannot be built.",3,1
premID95,hypoID377,Nobody cares about the roots of modern civilization. ,Byl známý jako barevný pes.,0,He was known as a colourful dog.,He was known as the colored dog.,1,1
premID68,hypoID270,His condescending attitude made my blood boil. ,Jeho blahosklonný přístup mě činil nadšeným.,0,His condescending attitude made me enthusiastic.,His condescending attitude made me enthusiastic.,1,1
premID41,hypoID161,Every person has bitter memories ,Každý člověk si pamatuje nějakou smutnou životní zkušenost.,1,Every person can remember some sad life experience,Every person remembers some sad life experience.,3,1
premID118,hypoID472,The darted harpoon was lightning in the sea. ,Harpuna byla v moři a rozsvítil se blesk.,0,The harpoon was in the sea and there was a lightning flash.,The harpoon was in the sea and the lightning flashed.,2,1
premID138,hypoID552,The promise between us was a flower ,Slib mezi námi byl starý a daný.,0,The promise between us was old and granted,The promise between us was old and made.,2,1
premID17,hypoID68,she cut him down with her words ,"Řekla mu věci, které ho rozesmutnily.",1,she told him things that made him sad,She told him things that made him sad.,3,1
premID57,hypoID225,He lived in a state of deep terror ,Prožíval intenzivní pocity strachu a hrůzy.,1,He lived experiencing intense feelings of fear and dread,He experienced intense feelings of fear and terror.,4,1
premID182,hypoID725,She knew she was burning in shame,"Věděla, že cítí intenzivní pocit hanby.",1,She knew she was feeling an intense shame ,She knew she felt an intense sense of shame.,4,1
premID22,hypoID87,then a colorful joy exploded in her chest ,Pak se cítila skleslá a depresivní.,0,then she felt down and depressed,Then she felt depressed and depressed.,1,1
premID96,hypoID383,Now you can fade off to sleep. ,Teď můžeš spát.,1,Now you can sleep.,You can sleep now.,3,1
premID8,hypoID31,Don't mention Tom 's promotion to Mike as it would be a red flag to a bull. ,"Nezmiňujte se o Tomově povýšení Mikeovi, protože je jisté, že ho to rozesmutní.",0,Don't mention Tom 's promotion to Mike as it is sure to make him kind of sad.,"Don't mention Tom's promotion to Mike, because it's sure to make him sad.",2,1
premID171,hypoID682,"In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","Američtí prezidenti musí monitorovat hlavní teroristické organizace stejně jako jakýkoliv typ skupiny, která se z nich vyvíjí, po celém světě.",1,American presidents must monitor the main terrorist organizations as well as any kind of group developing from them around the world ,American presidents must monitor major terrorist organizations as well as any type of group that evolves from them around the world.,3,1
premID13,hypoID49,an ancient anger exploded in his heart ,"Přemohl ho vztek, který na dlouhou dobou potlačil.",1,an anger he had suppressed for a long time overwhelmed him,He was overcome by a rage he had suppressed for a long time.,4,1
premID6,hypoID22,While his one live leg made lively echoes along the deck every stroke of his dead limb sounded like a coffin tap. ,"Zatímco jeho jedna živá noha se živě ozývala na palubě, každý úder jeho mrtvé končetiny byl zvuk rakve.",1,While his one live leg made lively echoes along the deck every stroke of his dead limb was a coffin noise.,"While his one living foot was alive on the deck, every stroke of his dead limb was the sound of a coffin.",3,1
premID24,hypoID95,we were sinking in an ocean of grass ,Potápěli jsme se v oceánu.,0,we were sinking in the ocean,We were diving in the ocean.,1,1
premID148,hypoID592,The wind howled; the waves dashed their bucklers together - we were in the jaws of death ,"Vítr řval, vlny se srážely – riskovali jsme naše životy.",1,The wind roared; the waves collided - we were risking our lives.,"The wind roared, the waves collided - we risked our lives.",4,1
premID162,hypoID647,We dug up some interesting facts ,Hledali jsme a případně našli nějaká zajímavá fakta.,1,We have researched and eventually found some facts of interest,We searched and eventually found some interesting facts.,4,1
